"","work_hours","1972","1973","1974","1975","1976","1977","1978","1980","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1993","1994","1996","1998","2000","2002","2004","2006","2008","2010","2012","2014","2016","2018","2021","2022","Total"
"1","No Response",1613,715,724,695,731,644,658,627,817,681,580,604,608,669,560,600,494,604,626,1081,1005,973,990,1031,1051,1756,777,872,795,1024,1175,949,1901,1542,30172
"2","0-20",0,89,72,88,74,72,97,92,120,100,100,99,86,128,87,102,89,120,98,191,175,177,171,177,171,253,101,129,134,130,172,139,237,218,4288
"3","21-40",0,465,466,477,477,532,495,470,622,540,490,495,461,622,491,475,465,467,465,990,942,919,923,855,890,1380,620,573,579,815,867,703,1223,1119,22373
"4","41-60",0,196,196,204,180,239,236,229,260,228,253,279,269,338,287,296,270,264,350,602,638,638,629,570,571,922,417,404,386,474,549,468,586,560,12988
"5","61-80",0,32,23,20,27,29,40,50,41,46,38,45,51,55,49,52,52,53,65,108,120,107,84,100,105,161,93,51,71,79,83,71,69,90,2160
"6","80+",0,6,4,8,7,4,15,10,9,13,15,15,11,16,5,9,6,8,1,16,23,20,20,32,26,36,14,17,10,16,22,17,18,16,465
"95","Total",1613,1503,1485,1492,1496,1520,1541,1478,1869,1608,1476,1537,1486,1828,1479,1534,1376,1516,1605,2988,2903,2834,2817,2765,2814,4508,2022,2046,1975,2538,2868,2347,4034,3545,72446
