"","Question","Response","Frequency","Percent"
"1","Scale 1",1,2,0.956937799043062
"2","Scale 1",3,14,6.69856459330144
"3","Scale 1",4,38,18.1818181818182
"4","Scale 1",5,52,24.8803827751196
"5","Scale 1",6,71,33.9712918660287
"6","Scale 1",7,32,15.311004784689
"7","Scale 2",1,2,0.956937799043062
"8","Scale 2",2,3,1.43540669856459
"9","Scale 2",3,22,10.5263157894737
"10","Scale 2",4,31,14.8325358851675
"11","Scale 2",5,53,25.3588516746411
"12","Scale 2",6,62,29.6650717703349
"13","Scale 2",7,36,17.2248803827751
"14","Scale 3",1,8,3.82775119617225
"15","Scale 3",2,14,6.69856459330144
"16","Scale 3",3,42,20.0956937799043
"17","Scale 3",4,34,16.2679425837321
"18","Scale 3",5,37,17.7033492822967
"19","Scale 3",6,59,28.2296650717703
"20","Scale 3",7,15,7.17703349282297
"21","Scale 4",1,2,0.956937799043062
"22","Scale 4",2,5,2.39234449760766
"23","Scale 4",3,25,11.9617224880383
"24","Scale 4",4,42,20.0956937799043
"25","Scale 4",5,52,24.8803827751196
"26","Scale 4",6,60,28.7081339712919
"27","Scale 4",7,23,11.0047846889952
"28","Scale 5",1,7,3.34928229665072
"29","Scale 5",2,14,6.69856459330144
"30","Scale 5",3,22,10.5263157894737
"31","Scale 5",4,27,12.9186602870813
"32","Scale 5",5,52,24.8803827751196
"33","Scale 5",6,52,24.8803827751196
"34","Scale 5",7,35,16.7464114832536
